id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
558484117410949664,Cozy apartment- 2Bedrooms 1Bathroom-Salamanca,444297362,Maria Henar,Salamanca,Recoletos,40.42704,-3.68049,Entire home/apt,169,1,32,2024-07-01,1.08,1,301,14,
7641247,"Bright and modern, just 8 minutes from Sol",5239042,Maribel & Jose,Centro,Embajadores,40.41058,-3.70217,Entire home/apt,79,3,284,2024-08-25,2.59,20,331,49,AM-336
1115912065306477827,Modern studio near to Plaza de España,133056146,Iván,Centro,Universidad,40.422783,-3.707468,Entire home/apt,156,1,5,2024-05-12,0.88,59,347,5,
34812107,"Apartamento en Madrid Centro, la mejor ubicación!",183676639,Zoilo,Salamanca,Goya,40.42622,-3.67762,Entire home/apt,75,3,218,2024-09-09,3.39,2,122,60,VT-9534
1126712062304100364,Cute penthouse with lots of light,36503894,Marta Y Enrique,Centro,Embajadores,40.41088,-3.70262,Entire home/apt,115,1,15,2024-08-16,3.21,38,326,15,
1187617444289855374,Apartment in La Latina,503836465,Joaquin,Centro,Palacio,40.40961665582135,-3.7126823778372233,Entire home/apt,105,2,11,2024-09-07,4.93,1,246,11,
1135409137751141742,Loft Apartment next to Sol,248358713,Sergio,Centro,Embajadores,40.4110595660246,-3.703022050159612,Entire home/apt,115,3,23,2024-09-08,4.86,2,103,23,
14994623,Artist Penthouse Oasis in the heart of Madrid,42149444,Helena,Centro,Embajadores,40.41243,-3.70164,Entire home/apt,170,30,126,2022-06-30,1.36,2,64,0,
1118149109134351007,Impresionante ático en Sol,514270998,Jorge,Centro,Cortes,40.4141594,-3.7011606,Entire home/apt,414,1,35,2024-09-02,6.69,2,117,35,
22174013,PUERTA DEL SOL CITY CENTER II WITH BALCONY,26205011,Roberto,Centro,Sol,40.41712871146604,-3.7051517007248234,Entire home/apt,197,6,80,2024-08-22,1.00,8,278,24,
1162868595919853534,Modern apartment-1Bedroom 1Bath-Prosperidad,539958570,Quintos Del Guijo,Chamartín,Prosperidad,40.44311041829278,-3.671840617980763,Entire home/apt,137,1,4,2024-07-30,1.15,2,144,4,
1115924334645856655,Great and cozy studio near to Gran Via,133056146,Iván,Centro,Universidad,40.422351723,-3.707421895,Entire home/apt,157,1,3,2024-08-07,0.58,59,356,3,
30585384,BNBHolder Luxe RETIRO PARK,28786243,Emilio,Salamanca,Goya,40.42193,-3.67923,Entire home/apt,481,1,116,2024-08-27,1.65,76,326,15,
5313221,"Cozy and confortable, in the heart of Madrid",5239042,Maribel & Jose,Centro,Embajadores,40.41079,-3.70225,Entire home/apt,77,3,314,2024-08-27,2.73,20,330,48,AM-336
984259065692806830,C Precioso apartamento en la misma Plaza Callao,143705251,Hamza,Centro,Sol,40.4191296,-3.7049901,Entire home/apt,282,1,34,2024-08-24,2.96,9,325,34,
944752078568772267,Estudio moderno y acogedor en Madrid Rio nº2,9885245,My Mad Madrid,Usera,Moscardó,40.39125,-3.70308,Entire home/apt,71,2,31,2024-09-01,2.58,66,359,31,
1157878101933139975,NiceDoubleRoom+PrivateBathroom+Pool&Gym+Aircon,21161800,Maria,Retiro,Adelfas,40.39756,-3.67261,Private room,,30,0,,,1,0,0,
1156501336698965399,Santa Engracia-15-10,576464572,Maria Mercedes,Chamberí,Trafalgar,40.43077148844954,-3.6976474244355106,Private room,,32,0,,,176,120,0,
1120342056621555563,apartamento reformado en gran via,391810099,Nacho,Centro,Palacio,40.42125861738541,-3.7090477794977024,Entire home/apt,180,1,1,2024-04-15,0.20,86,294,1,
1116059666389194284,Modern apartment in Gran Via area,133056146,Iván,Centro,Universidad,40.422783,-3.707468,Entire home/apt,160,1,0,,,59,349,0,
12039296,Meraviglioso centro città,15199892,Diletta,Centro,Palacio,40.42082,-3.70996,Entire home/apt,140,3,6,2019-12-10,0.08,1,363,0,
843959818030743837,Amplio apto a 300m de Retiro,9885245,My Mad Madrid,Retiro,Niño Jesús,40.4154141,-3.6747204,Entire home/apt,101,2,59,2024-08-30,3.60,66,319,50,
983974340420069618,C Apartamento  en la Famosa Plaza de Callao,143705251,Hamza,Centro,Sol,40.4191296,-3.7049901,Entire home/apt,307,1,39,2024-08-23,3.31,9,300,39,
1037366478600307921,Central designed 3 bedrooms + 2 showers/bathrooms,337004551,Eyal,Centro,Embajadores,40.41088453498114,-3.7034171716635123,Entire home/apt,248,3,16,2024-07-08,1.71,7,232,16,
